target_project,example_id,example_project,example_class_name,example_test_name,example_label
spring-boot,4,wildfly,IIOPSubsystemTestCase,testSubsystemWithSecurityIdentity,non-flaky
undertow,1,alluxio,TachyonFSTest,lockBlockTest4,flaky
undertow,2,hbase,TestScanner,testStopRow,flaky
undertow,3,assertj-core,BooleanArrays_assertEndsWith_Test,should_fail_if_actual_ends_with_first_elements_of_sequence_only,non-flaky
undertow,4,activiti,ManagementServiceTest,testTableCount,non-flaky
wildfly,1,undertow,DigestAuthenticationAuthTestCase,testDigestSuccess,flaky
wildfly,2,ambari,AmbariManagementControllerTest,testCreateServiceComponentMultiple,flaky
wildfly,3,assertj-core,DateAssert_isNotEqualTo_Test,should_verify_assertion_with_date_arg,non-flaky
wildfly,4,spring-boot,DataSourceHealthIndicatorTests,error,non-flaky
wro4j,1,alluxio,TachyonFSTest,lockBlockTest4,flaky
wro4j,2,hbase,TestHTableAuthenticator,testGetPlainUser,flaky
wro4j,3,spring-boot,JettyEmbeddedServletContainerFactoryTests,jettyConfigurations,non-flaky
wro4j,4,assertj-core,IntegerAssert_isNegative_Test,should_have_internal_effects,non-flaky
zxing,1,hbase,TestScanner,testScanAndRealConcurrentFlush,flaky
zxing,2,okhttp,URLConnectionTest,serverSendsInvalidCodeTooLarge,flaky
zxing,3,activiti,TaskQueryTest,testProcessCategoryIn,non-flaky
zxing,4,wro4j,TestSynchronizedCacheStrategyDecorator,shouldInvokeLoadOnlyOnceForTheSameKey,non-flaky
